,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
104,Jack Butland ,Goalkeeper,31,10,37,,,,,,,,,,,,,,,0,0,0,883,28.48,,,,,258,0,0,1,,0,,,,,,,,,,,,103,0,12,43,11,36,120,287
105,Sam Byram ,Defender,4,1,3,5,80%,0,0,12,11,5,0,16,12,11,0,3,3,0,0,0,95,23.75,0,10,20%,0,4,3,0,7,2,0,0,0,0,0,,,,,,,,,,,,,,,
106,Sinan Bytyqi ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
107,Willy Caballero ,Goalkeeper,4,1,5,,,,,,,,,,,,,,,0,1,0,85,21.25,,,,,22,0,0,0,,0,,,,,,,,,,,,15,0,2,2,0,0,5,21
108,Yohan Cabaye ,Midfielder,33,,,107,75%,,20,120,17,5,,193,164,162,9,8,12,,0,1,"1,269",38.45,2,143,30%,3,95,7,0,38,0,5,0,5,0,2,0.15,3,0,67,21,31%,3,,,,,,,,
109,Rémy Cabella ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
110,Gary Cahill ,Defender,23,2,38,22,82%,2,1,36,114,44,2,85,113,67,3,69,38,1,0,1,773,33.61,0,0,0%,1,29,2,0,17,1,2,0,1,1,0,,,,,,,,,,,,,,,
111,Geoff Cameron ,Midfielder,30,,,60,73%,,7,56,98,59,,166,166,128,28,70,40,,0,0,"1,128",37.60,1,16,6%,3,41,0,1,27,0,0,0,0,0,0,0.00,0,0,15,2,13%,0,,,,,,,,
112,Joel Campbell ,Forward,19,,,26,,,2,10,3,1,,,,,,,,,,2,342,18.00,4,11,,,,0,0,9,3,3,0,0,3,0,0.16,0,0,19,7,37%,2,,,,,,,,
113,Emre Can ,Midfielder,30,,,79,87%,,8,62,43,16,,204,191,172,39,45,40,,2,0,"1,793",59.77,6,9,0%,6,111,9,0,36,5,1,0,1,0,1,0.03,0,0,30,13,43%,0,,,,,,,,
114,Sergi Canós ,Forward,1,,,1,,,0,0,0,0,,,,,,,,,,0,5,5.00,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
115,Etienne Capoue ,Midfielder,33,,,95,71%,,11,82,45,16,,242,235,199,49,37,24,,0,1,"1,544",46.79,1,34,21%,3,111,7,0,53,2,0,0,0,0,0,0.00,0,0,35,8,23%,5,,,,,,,,
116,Baily Cargill ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
117,Josh Carmichael ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
118,Michael Carrick ,Midfielder,28,,,43,63%,,6,44,36,14,,152,80,57,8,16,10,,0,0,"1,568",56.00,1,6,67%,4,110,4,0,11,0,0,0,0,0,1,0.00,0,0,7,1,14%,0,,,,,,,,
119,Tom Carroll ,Midfielder,19,,,15,53%,,0,14,4,2,,30,23,36,2,3,8,,0,0,338,17.79,0,12,25%,0,21,3,0,8,0,1,0,0,1,0,0.05,0,0,5,3,60%,0,,,,,,,,
120,Cameron Carter-Vickers ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
121,Craig Cathcart ,Defender,35,10,46,45,76%,0,2,63,171,87,0,121,132,67,8,68,42,1,1,0,"1,032",29.49,0,3,33%,0,116,3,0,9,0,1,0,0,1,0,,,,,,,,,,,,,,,
122,Lee Cattermole ,Midfielder,31,,,57,77%,,4,52,31,21,,142,111,140,13,26,25,,1,0,929,29.97,1,7,29%,8,66,8,0,40,0,0,0,0,0,0,0.00,0,0,11,1,9%,1,,,,,,,,
123,Steven Caulker ,Defender,6,1,2,2,100%,0,1,6,14,6,0,7,11,8,0,9,7,0,0,0,68,11.33,0,1,0%,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
124,Petr Cech ,Goalkeeper,34,16,31,,,,,,,,,,,,,,,0,2,0,853,25.09,,,,,279,0,0,0,,0,,,,,,,,,,,,101,0,19,39,10,33,175,248
125,Cédric Soares ,Defender,24,5,19,70,79%,0,2,53,67,21,2,131,122,91,18,20,33,0,0,2,786,32.75,4,115,27%,0,66,3,0,18,2,0,0,0,0,0,,,,,,,,,,,,,,,
126,Bersant Celina ,Midfielder,1,,,1,100%,,0,0,0,0,,0,1,0,0,0,0,,0,1,12,12.00,1,4,50%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
127,Nacer Chadli ,Midfielder,29,,,11,73%,,6,8,16,7,,56,41,77,7,16,24,,0,2,378,13.03,4,15,27%,1,13,1,0,16,4,3,0,2,1,0,0.10,0,0,25,7,28%,3,,,,,,,,
128,Nathaniel Chalobah ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
129,Marouane Chamakh ,Forward,10,,,7,,,0,1,3,3,,,,,,,,,,0,93,9.30,0,1,,,,1,0,7,4,0,0,0,0,0,0.00,0,0,2,1,50%,1,,,,,,,,
130,Calum Chambers ,Defender,12,2,3,8,100%,0,1,10,21,9,0,28,29,19,5,13,11,1,0,0,195,16.25,0,1,0%,1,6,2,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
131,Cheick Tioté ,Midfielder,20,,,48,81%,,1,42,29,15,,125,112,95,15,35,23,,0,0,835,41.75,1,0,0%,0,44,5,0,31,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
132,James Chester ,Defender,13,3,18,32,69%,0,0,24,50,20,0,46,62,42,3,21,13,0,0,0,327,25.15,0,14,7%,2,10,5,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,
133,Chicharito ,Forward,1,,,0,,,0,1,0,0,,,,,,,,,,0,14,14.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100%,1,,,,,,,,
134,Ben Chilwell ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
135,Pedro Chirivella ,Midfielder,1,,,0,0%,,0,0,1,0,,3,0,2,0,0,0,,0,0,33,33.00,0,0,0%,1,2,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
136,Papiss Demba Cissé ,Forward,21,,,10,,,2,3,10,7,,,,,,,,,,0,405,19.29,0,8,,,,1,0,13,19,3,2,0,0,0,0.14,0,0,23,9,39%,1,,,,,,,,
137,Aly Cissokho ,Defender,18,3,40,26,73%,0,1,40,75,21,0,84,56,44,4,22,12,0,0,0,647,35.94,0,81,19%,0,36,3,1,13,0,0,0,0,0,0,,,,,,,,,,,,,,,
138,Ciaran Clark ,Defender,18,3,31,24,75%,0,0,47,127,60,0,68,93,58,9,50,30,0,2,0,559,31.06,1,1,100%,0,30,6,0,14,0,1,1,0,0,0,,,,,,,,,,,,,,,
139,Jake Clarke-Salter ,Defender,1,0,0,2,0%,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,6,6.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
140,Jordy Clasie ,Midfielder,22,,,42,88%,,6,55,28,8,,120,62,90,4,8,24,,0,0,768,34.91,0,19,32%,3,50,5,0,18,0,0,0,0,0,0,0.00,0,0,14,1,7%,0,,,,,,,,
141,Daniel Cleary ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
142,Tom Cleverley ,Midfielder,22,,,47,72%,,11,19,17,4,,98,96,83,13,19,19,,0,4,885,40.23,4,64,20%,2,50,1,0,11,1,2,1,0,1,2,0.09,0,0,24,7,29%,1,,,,,,,,
143,Gaël Clichy ,Defender,14,5,11,28,89%,0,0,50,40,14,0,77,59,46,15,12,9,0,0,1,693,49.50,2,27,33%,1,29,0,0,10,0,0,0,0,0,1,,,,,,,,,,,,,,,
144,Nathaniel Clyne ,Defender,33,10,45,84,75%,0,13,52,57,10,0,161,143,102,23,11,21,0,0,0,"1,510",45.76,1,81,14%,1,58,6,0,19,1,1,0,0,1,0,,,,,,,,,,,,,,,
145,Sebastián Coates ,Defender,16,2,30,45,82%,0,0,41,90,38,2,71,81,60,7,27,20,1,0,1,379,23.69,0,2,0%,0,28,4,0,17,0,0,0,0,0,0,,,,,,,,,,,,,,,
146,Jack Colback ,Midfielder,29,,,81,79%,,3,63,39,11,,168,156,125,7,25,20,,0,1,"1,066",36.76,1,59,29%,0,76,11,0,49,0,1,0,0,1,0,0.03,0,0,15,4,27%,0,,,,,,,,
147,Joe Cole ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
148,Séamus Coleman ,Defender,28,7,34,58,79%,0,8,36,71,32,0,160,142,120,43,13,22,1,1,3,"1,044",37.29,3,93,15%,0,45,4,0,20,8,1,1,0,0,1,,,,,,,,,,,,,,,
149,Charlie Colkett ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
150,James Collins ,Defender,19,5,14,18,83%,0,3,19,151,83,1,59,76,50,3,51,27,0,0,0,574,30.21,0,0,0%,0,55,3,1,12,1,0,0,0,0,0,,,,,,,,,,,,,,,
151,Fabricio Coloccini ,Defender,26,5,47,43,74%,0,3,61,97,42,1,106,88,77,4,32,33,1,0,0,849,32.65,0,4,0%,0,79,2,1,9,0,1,0,1,0,1,,,,,,,,,,,,,,,
152,Callum Connolly ,Defender,1,0,1,0,0%,0,0,0,3,3,0,1,0,1,0,0,1,0,0,0,8,8.00,0,2,0%,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
153,Francis Coquelin ,Midfielder,26,,,72,79%,,3,76,22,12,,188,145,85,30,19,17,,0,0,"1,116",42.92,0,2,100%,3,56,5,1,24,0,0,0,0,0,0,0.00,0,0,8,0,0%,0,,,,,,,,
154,Jack Cork ,Midfielder,35,,,77,73%,,7,83,67,31,,199,209,162,32,58,56,,0,2,"1,712",48.91,3,24,8%,3,79,3,0,29,2,1,0,1,0,0,0.03,0,0,19,6,32%,1,,,,,,,,
155,Filippo Costa ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
156,Thibaut Courtois ,Goalkeeper,23,5,29,,,,,,,,,,,,,,,0,1,0,523,22.74,,,,,133,1,2,2,,0,,,,,,,,,,,,67,1,19,32,13,14,118,168
157,Craig Gardner ,Midfielder,34,,,51,76%,,10,30,24,7,,111,118,142,7,33,45,,0,3,616,18.12,3,113,21%,2,26,5,0,38,8,3,0,2,1,2,0.09,0,1,46,12,26%,3,,,,,,,,
158,Aaron Cresswell ,Defender,37,11,50,38,61%,0,10,70,88,41,1,168,121,109,12,40,34,0,3,4,"1,377",37.22,4,121,26%,1,115,1,0,22,1,2,0,0,2,1,,,,,,,,,,,,,,,
159,Luke Croll ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
160,Peter Crouch ,Forward,11,,,3,,,3,4,9,6,,,,,,,,,,1,152,13.82,1,1,,,,0,0,13,9,0,0,0,0,0,0.00,0,0,7,3,43%,0,,,,,,,,
161,Daniel Crowley ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
162,Juan Cuadrado ,Midfielder,1,,,0,0%,,0,1,1,0,,4,3,2,1,0,1,,0,0,9,9.00,0,1,0%,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
163,Cuco Martina ,Defender,15,1,15,37,73%,0,1,24,34,6,1,67,55,40,1,6,10,0,1,1,428,28.53,2,37,27%,1,41,1,0,15,2,1,0,1,0,0,,,,,,,,,,,,,,,
164,Josh Cullen ,Midfielder,1,,,0,0%,,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
165,Charlie Daniels ,Defender,37,7,63,75,83%,0,5,53,76,33,0,203,176,110,57,26,21,0,1,5,"1,692",45.73,3,127,25%,1,65,2,0,10,2,3,0,0,3,0,,,,,,,,,,,,,,,
166,Scott Dann ,Defender,35,8,44,35,69%,1,4,62,179,94,2,138,170,113,10,115,75,0,1,1,"1,116",31.89,0,5,20%,0,131,7,0,20,5,5,3,1,1,1,,,,,,,,,,,,,,,
167,Danny Graham ,Forward,10,,,1,,,0,5,6,3,,,,,,,,,,0,88,8.80,0,3,,,,0,0,8,1,0,0,0,0,0,0.00,0,0,4,2,50%,1,,,,,,,,
168,Karl Darlow ,Goalkeeper,9,3,11,,,,,,,,,,,,,,,0,0,0,215,23.89,,,,,76,0,0,0,,0,,,,,,,,,,,,23,1,9,20,2,8,29,76
169,Matteo Darmian ,Defender,28,8,18,84,82%,0,0,42,53,14,0,103,138,96,11,20,13,0,0,0,934,33.36,3,53,17%,0,40,8,0,27,4,1,0,0,1,0,,,,,,,,,,,,,,,
170,Tom Davies ,Midfielder,2,,,1,100%,,1,5,1,1,,5,5,5,2,0,1,,0,0,49,24.50,0,1,0%,0,2,0,0,2,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
171,Keinan Davis ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
172,Craig Dawson ,Defender,38,10,48,59,69%,0,11,86,162,93,1,153,212,164,8,119,73,1,0,0,"1,115",29.34,3,130,22%,0,81,3,0,28,3,4,3,0,1,1,,,,,,,,,,,,,,,
173,Kevin De Bruyne ,Midfielder,25,,,28,86%,,10,18,13,8,,131,94,154,36,12,29,,1,9,"1,127",45.08,9,181,27%,15,48,2,0,16,8,7,0,7,0,1,0.28,0,0,49,25,51%,3,,,,,,,,
174,David de Gea ,Goalkeeper,34,15,33,,,,,,,,,,,,,,,1,1,0,854,25.12,,,,,260,0,0,0,,0,,,,,,,,,,,,83,0,13,20,6,18,106,287
175,Siem de Jong ,Midfielder,18,,,16,63%,,2,4,2,1,,21,32,43,3,7,19,,0,1,193,10.72,0,7,14%,0,5,0,0,7,0,0,0,0,0,0,0.00,0,0,8,3,38%,1,,,,,,,,
176,Ritchie de Laet ,Defender,12,0,16,25,92%,0,0,21,25,7,1,40,44,39,3,13,16,0,0,0,218,18.17,0,15,27%,0,15,1,0,6,0,1,0,1,0,0,,,,,,,,,,,,,,,
177,Josh Debayo ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
178,Mathieu Debuchy ,Defender,2,0,3,9,100%,0,1,3,1,0,0,12,17,10,1,6,2,0,0,0,79,39.50,0,5,0%,0,2,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,
179,Troy Deeney ,Forward,38,,,49,,,34,17,48,34,,,,,,,,,,7,"1,290",33.95,12,26,,,,6,0,50,18,13,3,10,0,1,0.34,6,0,94,32,34%,3,,,,,,,,
180,Jermain Defoe ,Forward,33,,,17,,,26,2,2,0,,,,,,,,,,1,425,12.88,2,13,,,,3,0,17,43,15,0,12,3,1,0.45,1,0,85,39,46%,7,,,,,,,,
181,Matej Delac ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
182,Damien Delaney ,Defender,32,5,46,31,74%,1,2,56,204,111,0,124,145,93,4,96,61,2,1,3,"1,055",32.97,5,7,29%,0,114,2,0,18,0,2,1,1,0,1,,,,,,,,,,,,,,,
183,Fabian Delph ,Midfielder,17,,,26,50%,,3,22,8,1,,65,65,52,24,6,9,,0,0,483,28.41,1,7,14%,1,10,0,0,7,0,2,0,0,2,1,0.12,0,0,13,5,38%,0,,,,,,,,
184,Mousa Dembélé ,Midfielder,29,,,104,81%,,6,56,33,14,,223,249,156,83,31,28,,0,1,"1,378",47.52,0,4,25%,3,40,3,0,48,2,3,0,0,3,0,0.10,0,0,22,9,41%,1,,,,,,,,
185,Martín Demichelis ,Defender,20,3,18,20,80%,0,2,35,76,39,0,47,68,46,5,35,13,0,1,0,551,27.55,1,0,0%,0,23,3,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,
186,Jason Denayer ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
187,Memphis Depay ,Forward,29,,,13,,,18,10,8,5,,,,,,,,,,0,642,22.14,1,89,,,,2,0,20,8,2,0,1,1,2,0.07,0,0,57,17,30%,5,,,,,,,,
188,Gerard Deulofeu ,Forward,26,,,16,,,2,14,5,0,,,,,,,,,,8,523,20.12,9,141,,,,2,0,3,2,2,0,1,1,0,0.08,0,0,9,6,67%,1,,,,,,,,
189,Alessandro Diamanti ,Forward,3,,,3,,,0,1,1,1,,,,,,,,,,0,51,17.00,0,8,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
190,Diego Costa ,Forward,28,,,21,,,15,6,25,17,,,,,,,,,,6,824,29.43,4,12,,,,8,0,43,33,12,0,9,3,1,0.43,0,0,68,28,41%,9,,,,,,,,
191,Eric Dier ,Midfielder,37,,,80,80%,,9,80,70,43,,151,197,185,8,88,68,,0,2,"2,084",56.32,3,19,11%,5,120,10,0,52,0,3,2,1,0,0,0.08,0,0,30,7,23%,1,,,,,,,,
192,Dionatan Teixeira ,Defender,1,0,1,1,100%,0,0,0,3,1,0,3,2,0,0,1,0,0,0,0,7,7.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
193,Mame Biram Diouf ,Forward,26,,,18,,,6,5,18,5,,,,,,,,,,1,264,10.15,1,8,,,,3,0,21,8,5,5,0,0,0,0.19,0,0,31,16,52%,7,,,,,,,,
194,Sylvain Distin ,Defender,12,1,21,19,63%,0,1,24,47,18,0,40,59,27,6,33,19,0,0,0,450,37.50,0,0,0%,0,18,0,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,
195,Papy Djilobodji ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
196,George Dobson ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
197,Joseph Dodoo ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,6,6.00,0,0,,,,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
198,Janoi Donacien ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
199,Shaun Donnellan ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
200,Graham Dorrans ,Midfielder,21,,,23,65%,,3,25,12,4,,79,52,62,17,8,12,,0,1,724,34.48,1,14,21%,1,52,2,0,15,1,0,0,0,0,1,0.00,0,0,16,3,19%,0,,,,,,,,
201,Abdoulaye Doucouré ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
202,Seydou Doumbia ,Forward,3,,,0,,,0,0,0,0,,,,,,,,,,0,8,2.67,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
203,Kieran Dowell ,Midfielder,2,,,0,0%,,0,0,0,0,,4,2,12,2,0,1,,0,0,30,15.00,0,5,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
204,Lloyd Doyley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
205,Luke Dreher ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
206,Daniel Drinkwater ,Midfielder,35,,,106,70%,,11,55,68,41,,342,191,203,31,29,44,,0,7,"1,984",56.69,10,47,23%,11,137,3,1,54,0,2,0,2,0,0,0.06,0,0,41,9,22%,3,,,,,,,,
207,Paul Dummett ,Defender,23,6,28,54,80%,0,1,42,88,44,0,64,117,69,7,47,31,0,1,0,673,29.26,0,34,21%,0,48,3,0,13,0,1,0,0,1,1,,,,,,,,,,,,,,,
208,Nathan Dyer ,Midfielder,13,,,4,75%,,2,1,0,0,,22,23,36,8,1,6,,0,1,74,5.69,1,6,33%,1,2,1,0,9,0,1,1,0,0,0,0.08,0,0,5,2,40%,0,,,,,,,,
209,Connor Dymond ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
